Study ID,Title,Citation,Study Type,Sampling Method,Study Population,Case Definition,Date Start,Date End,Study Context,Outbreak Description,Notes,Entry ID,Entry Description,Country ISO3 Code,GADM Admin 0,"GADM Admin 1, when available","GADM Admin 2, when available","GADM Admin 3, when available",Precise Place Name,Urban or Rural,Location Description,Care Seeking Questions,Multiple Choices,Regarding self or child,Recall time (in days),Facility or location sought as written in transcript,Type of care facility sought (standardized),N surveyed if they WOULD seek care,N who said they WOULD seek care,N surveyed if they DID seek care,N who actually DID seek care,Additional Information,Age lower (of individual with diarrhea in years),Age Upper (of individual with diarrhea in years),Sex (of individual with diarrhea),Diarrhea severity,Diarrhea symptoms,Overlapping Study,Percents converted to numbers,Comments,Extractor Initials,Status,Primary dataset,Stratified time,Stratified geographic location,Stratified urban rural,Stratified age,Stratified sex,Stratified severity,Overlaps checked,Overlaps decision
8,"Predictors of Health-Care Utilization Among Children 6-59 Months of Age in Zambézia Province, Mozambique.",10.4269/ajtmh.16-0233,Survey,Cluster,Female heads of households in the Zambézia Province,,04/01/2014,05/31/2014,,No outbreak description,,8_a,all data,MOZ,Mozambique,Zambezia,,,,Both,All provinces,"Among those with diarrhea, sought treatment at health facility",,Child,30,Health facility,Hospital/Clinic,,,510,291,converted from percentages,0.5,4,,,,,1,Converted 59 months to 5 years for upper age bound; 0.5 years is 6 months,DJC,Complete,1,0,0,0,0,0,0,,
9,Household Management of Childhood Diarrhoea: A Population-based Study in Nicaragua,PMID: 24847604,Surveillance,Simple random,"Parents or caretakers of children below five years of age who developed diarrhoea from León, Nicaragua","An increase in stool frequency to at least three stools per 24- hour period or a substantial change in stool consistency to loose, watery, or bloody, following at least three diarrhoea-free days",01/25/2010,01/24/2011,,No outbreak description,,9_a,all data,NIC,Nacaragua,Le√≥n,Le√≥n,,,Urban,León; second largest city in Nicaragua,Where from did child recieve care for diaarhoea,,Child,14,Clínicas previsionales,Private Hospital/Clinic,,,154,58,,,4,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,
9,Household Management of Childhood Diarrhoea: A Population-based Study in Nicaragua,PMID: 24847604,Surveillance,Simple random,"Parents or caretakers of children below five years of age who developed diarrhoea from León, Nicaragua","An increase in stool frequency to at least three stools per 24- hour period or a substantial change in stool consistency to loose, watery, or bloody, following at least three diarrhoea-free days",01/25/2010,01/24/2011,,No outbreak description,,9_a,all data,NIC,Nacaragua,Le√≥n,Le√≥n,,,Urban,León; second largest city in Nicaragua,Where from did child recieve care for diaarhoea,,Child,14,Fee-for-service private physcian,Private Hospital/Clinic,,,154,41,,,4,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,
9,Household Management of Childhood Diarrhoea: A Population-based Study in Nicaragua,PMID: 24847604,Surveillance,Simple random,"Parents or caretakers of children below five years of age who developed diarrhoea from León, Nicaragua","An increase in stool frequency to at least three stools per 24- hour period or a substantial change in stool consistency to loose, watery, or bloody, following at least three diarrhoea-free days",01/25/2010,01/24/2011,,No outbreak description,,9_a,all data,NIC,Nacaragua,Le√≥n,Le√≥n,,,Urban,León; second largest city in Nicaragua,Where from did child recieve care for diaarhoea,,Child,14,Public primary-care center,Public Hospital/Clinic,,,154,37,,,4,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,
9,Household Management of Childhood Diarrhoea: A Population-based Study in Nicaragua,PMID: 24847604,Surveillance,Simple random,"Parents or caretakers of children below five years of age who developed diarrhoea from León, Nicaragua","An increase in stool frequency to at least three stools per 24- hour period or a substantial change in stool consistency to loose, watery, or bloody, following at least three diarrhoea-free days",01/25/2010,01/24/2011,,No outbreak description,,9_a,all data,NIC,Nacaragua,Le√≥n,Le√≥n,,,Urban,León; second largest city in Nicaragua,Where from did child recieve care for diaarhoea,,Child,14,Public hospital emergency room,Public Hospital/Clinic,,,154,15,,,4,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,
9,Household Management of Childhood Diarrhoea: A Population-based Study in Nicaragua,PMID: 24847604,Surveillance,Simple random,"Parents or caretakers of children below five years of age who developed diarrhoea from León, Nicaragua","An increase in stool frequency to at least three stools per 24- hour period or a substantial change in stool consistency to loose, watery, or bloody, following at least three diarrhoea-free days",01/25/2010,01/24/2011,,No outbreak description,,9_a,all data,NIC,Nacaragua,Le√≥n,Le√≥n,,,Urban,León; second largest city in Nicaragua,Where from did child recieve care for diaarhoea,,Child,14,Free church-run clinic,Hospital/Clinic,,,154,2,,,4,,,,,,,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_a,diarrhea - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for diarrhea,,Child,,District Hospital,Public Hospital/Clinic,,,110,15,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_a,diarrhea - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for diarrhea,,Child,,Private Hospital,Private Hospital/Clinic,,,110,3,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_a,diarrhea - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for diarrhea,,Child,,Government Clinic,Public Hospital/Clinic,,,110,7,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_a,diarrhea - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for diarrhea,,Child,,Private Clinic,Private Hospital/Clinic,,,110,15,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_a,diarrhea - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for diarrhea,,Child,,Pharmacy,Pharmacy,,,110,19,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_a,diarrhea - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for diarrhea,,Child,,Other,Other,,,110,10,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_b,diarrhea - urban,GHA,Ghana,Greater Accra,Tema,,,Urban,,Place of care for diarrhea,,Child,,District Hospital,Public Hospital/Clinic,,,128,6,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_b,diarrhea - urban,GHA,Ghana,Greater Accra,Tema,,,Urban,,Place of care for diarrhea,,Child,,Private Hospital,Private Hospital/Clinic,,,128,2,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_b,diarrhea - urban,GHA,Ghana,Greater Accra,Tema,,,Urban,,Place of care for diarrhea,,Child,,Government Clinic,Public Hospital/Clinic,,,128,31,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_b,diarrhea - urban,GHA,Ghana,Greater Accra,Tema,,,Urban,,Place of care for diarrhea,,Child,,Private Clinic,Private Hospital/Clinic,,,128,27,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_b,diarrhea - urban,GHA,Ghana,Greater Accra,Tema,,,Urban,,Place of care for diarrhea,,Child,,Pharmacy,Pharmacy,,,128,18,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,WHO diarrhea definition,09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_b,diarrhea - urban,GHA,Ghana,Greater Accra,Tema,,,Urban,,Place of care for diarrhea,,Child,,Other,Other,,,128,7,,0,5,,diarrhea ,,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,1,0,0,0,0,0,0,,
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_c,severe - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for severe diarrhea,,Child,,District Hospital,Public Hospital/Clinic,,,79,11,,0,5,,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,0,0,0,0,0,0,1,,severe and dysentary are included within all diarrhea
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_c,severe - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for severe diarrhea,,Child,,Private Hospital,Private Hospital/Clinic,,,79,6,,0,5,,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,0,0,0,0,0,0,1,,severe and dysentary are included within all diarrhea
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_c,severe - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for severe diarrhea,,Child,,Government Clinic,Public Hospital/Clinic,,,79,6,,0,5,,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,0,0,0,0,0,0,1,,severe and dysentary are included within all diarrhea
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_c,severe - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for severe diarrhea,,Child,,Private Clinic,Private Hospital/Clinic,,,79,12,,0,5,,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,0,0,0,0,0,0,1,,severe and dysentary are included within all diarrhea
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_c,severe - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for severe diarrhea,,Child,,Pharmacy,Pharmacy,,,79,15,,0,5,,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,0,0,0,0,0,0,1,,severe and dysentary are included within all diarrhea
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_c,severe - rural,GHA,Ghana,Eastern,Akwapim South,,,Rural,,Place of care for severe diarrhea,,Child,,Other,Other,,,79,6,,0,5,,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,0,0,0,0,0,0,1,,severe and dysentary are included within all diarrhea
12,"Community-based cluster surveys on treatment preferences for diarrhoea, severe diarrhoea, and dysentery in children aged less than five years in two districts of Ghana",PMID: 15473521,Survey,Cluster,Caretakers of children under 5 years of age in Ghana,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",09/01/2002,10/31/2002,,No outbreak description,September-October 2002,12_d,severe - urban,GHA,Ghana,Greater Accra,Tema,,,Urban,,Place of care for diarrhea,,Child,,District Hospital,Public Hospital/Clinic,,,84,3,,0,5,,"severe diarrhea - lasting less than 14 days and meeting one of the following three definitions: (1) more than three loose or watery stools in a 24-period with no blood and at least two of the following: lethargy/unconsciousness, sunken eyes, inability to drink or drinking poorly; or (2) local name for severe diarrhoea; or (3) diarrhoea for which the child received intravenous rehydration",,1,,Overlapping because severe diarrhea and dysentary are categories of/included within all reported diarrhea,DJC,Complete,0,0,0,0,0,0,1,,severe and dysentary are included within all diarrhea
